Features ,Notes,Comprehensive MCO with or without MLTSS,Comprehensive MCO with or without MLTSS 2,PCCM,PCCM 2,PCCM Entity,PCCM Entity 2,MLTSS,MLTSS 2,BHO (PIHP and/or PAHP),BHO (PIHP and/or PAHP) 2,Dental,Dental 2,Transportation,Transportation 2,Other PHP,Other PHP 2,PACE,PACE 2,Year
Low-income Adults,,39,5,5,3,1,1,1,0,12,0,4,1,11,1,0,2,0,0,2016
"Aged, Blind or Disabled Children or Adults",,41,13,9,7,0,2,2,2,13,0,6,1,15,1,1,1,0,24,2016
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),,41,3,12,2,1,1,1,0,10,0,7,1,13,1,1,2,0,0,2016
Individuals receiving Limited Benefits,,12,1,3,1,0,1,1,0,5,0,1,0,6,1,1,2,0,0,2016
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,,36,5,5,1,0,1,0,0,7,0,3,1,8,1,0,1,0,0,2016
Full Duals,,22,23,0,4,0,2,3,2,11,3,3,1,12,1,0,0,0,29,2016
Partial Duals,,7,6,0,3,0,0,0,1,5,2,1,0,5,1,0,0,0,20,2016
Children with Special Health Care Needs,,30,16,4,4,0,2,1,0,10,3,4,0,13,1,1,2,0,0,2016
Native American/Alaskan Natives,,18,47,5,10,0,2,1,3,9,5,5,3,7,5,0,5,0,21,2016
Foster Care and Adoption Assistance Children,,25,23,2,7,0,2,1,0,9,4,4,2,12,0,1,4,0,1,2016
"Exempt populations (NA/AN=Native American/Alaskan Native, FC/AA=Foster Care and Adoption Assistance Children)2",,"NA/AN13","FC/AA26","NA/AN2","FC/AA6","NA/AN0","FC/AA0","NA/AN1","FC/AA4","NA/AN3","FC/AA2","NA/AN1","FC/AA3","NA/AN4","FC/AA1","NA/AN1","FC/AA1","NA/AN9","FC/AA21",2016
Low-income Adults,,39,5,6,2,1,1,1,0,9,0,5,1,11,3,0,2,0,0,2017
"Aged, Blind or Disabled Children or Adults",,41,14,9,4,0,2,2,2,11,0,8,1,14,3,1,1,0,24,2017
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),,41,3,10,2,1,1,1,0,9,0,8,1,12,3,1,2,0,0,2017
Individuals receiving Limited Benefits,,12,1,3,0,0,1,0,0,3,0,2,1,6,3,1,2,0,0,2017
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,,35,5,5,1,0,1,0,0,7,0,4,1,8,1,0,1,0,0,2017
Full Duals,,22,27,0,2,0,2,3,2,8,2,4,1,12,3,0,1,0,30,2017
Partial Duals,,6,5,0,1,0,0,0,1,3,2,2,0,6,2,0,1,0,20,2017
Children with Special Health Care Needs,,29,14,4,2,0,2,1,0,8,4,6,1,12,3,1,2,0,0,2017
Native American/Alaskan Natives,,20,45,4,7,0,2,1,3,5,7,6,3,7,4,0,5,0,22,2017
Foster Care and Adoption Assistance Children,,30,18,2,5,0,2,1,0,8,4,5,2,13,0,1,4,0,1,2017
"Exempt populations (NA/AN=Native American/Alaskan Native, FC/AA=Foster Care and Adoption Assistance Children)2",,"NA/AN13","FC/AA27","NA/AN3","FC/AA5","NA/AN0","FC/AA0","NA/AN1","FC/AA4","NA/AN2","FC/AA2","NA/AN1","FC/AA3","NA/AN6","FC/AA1","NA/AN2","FC/AA2","NA/AN9","FC/AA21",2017
Low-income Adults,,40,4,6,1,4,0,1,0,9,0,8,2,11,3,0,2,0,0,2018
"Aged, Blind or Disabled Children or Adults",,45,14,10,2,3,1,2,1,11,0,9,2,15,3,1,1,0,24,2018
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),,43,4,10,1,4,0,1,0,9,0,9,2,13,3,1,2,0,0,2018
Individuals receiving Limited Benefits,,12,2,4,1,1,0,0,0,3,0,2,2,7,3,1,2,0,0,2018
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,,39,5,4,1,2,0,0,0,8,0,5,2,9,1,0,1,0,0,2018
Full Duals,,26,25,0,1,2,1,3,2,9,2,6,2,13,3,0,1,0,30,2018
Partial Duals,,6,5,0,1,0,0,0,1,4,2,3,0,6,2,0,1,0,20,2018
Children with Special Health Care Needs,,32,15,4,3,3,1,1,0,8,4,7,3,14,3,1,2,0,0,2018
Native American/Alaskan Natives,,23,43,4,7,2,2,2,2,5,7,6,7,7,5,0,5,0,23,2018
Foster Care and Adoption Assistance Children,,32,20,2,6,2,3,1,0,8,4,7,2,14,0,0,4,0,1,2018
"Exempt populations (NA/AN=Native American/Alaskan Native, FC/AA=Foster Care and Adoption Assistance Children)2","Certain federal statutory authorities do not allow enrollment of American Indians/Alaska Natives or Foster Care Children. Where states use these authorities to operate Medicaid managed care, American Indians/Alaska Natives or Foster Care Children are considered ""exempt.""","NA/AN11","FC/AA22","NA/AN2","FC/AA4","NA/AN1","FC/AA0","NA/AN1","FC/AA4","NA/AN3","FC/AA2","NA/AN0","FC/AA4","NA/AN6","FC/AA1","NA/AN2","FC/AA2","NA/AN8","FC/AA21",2018
Low-income Adults,,40,2,5,2,3,0,1,0,7,0,8,1,10,3,0,2,0,0,2019
"Aged, Blind or Disabled Children or Adults",,45,12,8,5,3,1,3,1,9,1,10,1,15,3,1,1,0,24,2019
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),,44,3,9,2,4,0,1,0,8,1,10,1,13,3,1,0,0,0,2019
Individuals receiving Limited Benefits,,12,1,4,1,2,0,0,0,3,0,3,1,8,3,1,1,0,0,2019
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,,39,3,3,3,3,0,0,0,6,0,6,1,7,1,0,2,0,0,2019
Full Duals,,28,23,0,1,1,1,3,2,7,2,7,1,13,3,0,3,0,30,2019
Partial Duals,,6,7,0,1,0,0,0,1,2,2,2,0,2,1,0,1,0,15,2019
